StimeSec,isrushhour,isnight,SLONCOL,SLATCOL,ELONCOL,ELATCOL,dtdis,distance,interval
69072,1,0,63,61,58,39,22.561028345356956,13045.915863135917,2434
71536,1,0,58,39,61,39,3.0,1695.1424809065727,240
71782,1,0,61,39,64,43,5.0,3760.952704493443,1344
74273,0,0,59,47,57,48,2.23606797749979,1236.0153319518313,354
76200,0,0,60,45,60,34,11.0,6286.750661059862,826
77053,0,0,60,34,59,38,4.123105625617661,4471.3417047272205,723
77791,0,0,59,38,60,38,1.0,1513.004071510922,225
79246,0,0,82,46,75,45,7.0710678118654755,30269.402159895693,1804
81064,0,0,76,44,84,36,11.313708498984761,10274.49256717862,1452
83002,0,1,79,36,81,37,2.23606797749979,2355.1162972955635,534
83548,0,1,81,37,78,37,3.0,3449.9021901464816,949
84502,0,1,78,38,77,40,2.23606797749979,2829.820674651872,714
85221,0,1,77,40,78,38,2.23606797749979,2064.960359415351,415
0,0,1,60,19,76,23,16.492422502470642,11404.055724118478,1668
1678,0,1,76,23,72,22,4.123105625617661,3093.2933359816643,577
2266,0,1,72,22,83,26,11.704699910719626,7924.11384293742,1197
3473,0,1,83,26,76,22,8.06225774829855,17902.00443538591,4351
8045,0,1,76,21,35,16,41.30375285612676,23186.26559719358,4234
28364,1,0,35,23,31,25,4.47213595499958,3850.8918558024975,691
29065,1,0,31,25,32,19,6.082762530298219,4531.403470865427,960
30037,1,0,32,19,29,34,15.297058540778355,12524.561755808732,1492
31543,1,0,28,34,12,40,17.08800749063506,10583.489759314034,632
32185,1,0,12,40,38,23,31.064449134018133,17836.791943183514,3021
35279,0,0,38,23,39,24,1.4142135623730951,7372.4643733203875,1316
39448,0,0,36,16,34,10,6.324555320336759,3675.474945830788,868
40326,0,0,34,10,56,19,23.769728648009426,15190.627726070492,1583
45323,0,0,44,19,39,13,7.810249675906654,6252.589989015966,1361
46694,0,0,39,13,31,17,8.94427190999916,7210.778895176805,1378
48163,0,0,31,17,33,49,32.0624390837628,19275.62264086828,2275
50448,0,0,33,49,36,57,8.54400374531753,9824.553402148927,1324
51780,0,0,36,57,63,22,44.204072210600685,31190.190666047416,3971
55762,0,0,63,22,64,20,2.23606797749979,1522.1323541439772,281
56052,0,0,64,20,49,20,15.0,8334.129503512788,1489
61132,0,0,34,20,31,25,5.830951894845301,5318.540908976744,1081
63735,0,0,34,20,37,16,5.0,4322.652614592839,840
64586,0,0,37,16,33,18,4.47213595499958,3488.829711842879,707
65301,1,0,33,18,28,28,11.180339887498949,14425.463902986628,2519
67829,1,0,28,28,31,19,9.486832980505138,5666.81952223627,962
68871,1,0,31,18,36,18,5.0,4432.51235384634,1380
70261,1,0,36,18,39,13,5.830951894845301,4993.732780770031,677
70949,1,0,39,13,65,18,26.476404589747453,16450.479043149233,1474
72501,0,0,65,18,65,18,0.0,3967.229241383325,899
73412,0,0,65,18,76,23,12.083045973594572,15505.164913520064,3082
77910,0,0,76,21,74,32,11.180339887498949,8926.85899643238,1588
79509,0,0,74,32,74,35,3.0,1597.624014946727,518
80041,0,0,74,35,32,19,44.94441010848846,30307.76669360639,3473
83593,0,1,32,19,32,9,10.0,6568.589811095581,817
84862,0,1,28,10,32,15,6.4031242374328485,6524.097202800466,991
3210,0,1,53,45,56,41,5.0,2859.281668102393,493
24866,0,0,29,27,60,23,31.25699921617557,16458.451658921862,3052
27990,1,0,61,23,58,28,5.830951894845301,4446.209846043102,1270
29309,1,0,57,28,75,20,19.697715603592208,13037.3048267144,1908
31892,1,0,75,21,77,27,6.324555320336759,3264.651933527465,631
32639,0,0,78,27,80,25,2.8284271247461903,1614.320847214116,493
33154,0,0,80,25,75,22,5.830951894845301,3883.575404050177,664
33862,0,0,74,22,74,20,2.0,1963.0864970463524,706
35036,0,0,75,21,74,19,2.23606797749979,2747.425193346508,937
36057,0,0,75,19,79,23,5.656854249492381,4251.110192678357,991
37378,0,0,78,22,74,19,5.0,4261.20832284538,797
42755,0,0,72,23,74,31,8.246211251235321,5947.710779553971,862
44381,0,0,69,27,74,19,9.433981132056603,10231.841325607968,1335
45719,0,0,74,19,73,23,4.123105625617661,2630.3019204951306,661
46486,0,0,73,24,75,22,2.8284271247461903,3079.583875039356,504
47592,0,0,74,25,72,25,2.0,1266.5062689046383,228
48891,0,0,48,25,54,21,7.211102550927978,5030.51808956537,725
51117,0,0,58,17,60,19,2.8284271247461903,2158.9812511574623,398
52010,0,0,61,21,78,30,19.235384061671343,12904.899493344916,1521
53973,0,0,75,33,77,22,11.180339887498949,7637.912942730919,1184
55197,0,0,77,22,60,17,17.72004514666935,12636.317718040986,1496
56806,0,0,61,17,70,21,9.848857801796104,5359.5814205629285,1000
57840,0,0,69,21,13,57,66.57326790837296,46580.44074750546,5174
69578,1,0,73,20,74,22,2.23606797749979,1642.273774166851,589
71851,1,0,49,17,52,20,4.242640687119285,5536.494057222268,831
72720,0,0,51,20,56,20,5.0,2474.8704126246,324
80335,0,0,61,27,75,20,15.652475842498529,11076.797981459024,1856
30246,1,0,63,20,48,21,15.033296378372908,9699.561348862077,1637
31891,1,0,48,21,58,22,10.04987562112089,6777.51302521182,1156
34016,0,0,64,19,76,25,13.416407864998739,7704.214862217564,2432
43976,0,0,75,21,12,40,65.80273550544841,36673.34455981256,2562
56057,0,0,79,24,77,23,2.23606797749979,30985.58361784961,4739
61221,0,0,79,26,77,23,3.605551275463989,7110.462955906237,1562
63800,0,0,75,34,74,29,5.0990195135927845,14638.1163424373,5069
68917,1,0,73,29,74,19,10.04987562112089,5215.31626933586,1154
70230,1,0,74,20,80,38,18.973665961010276,14654.835438507584,1857
73660,0,0,74,36,89,45,17.4928556845359,13426.24721988854,2071
78726,0,0,68,19,98,24,30.4138126514911,16819.776137690824,2070
81596,0,0,99,25,62,15,38.3275357934736,20559.476129801144,2130
83738,0,1,62,15,71,24,12.727922061357855,8041.978609684173,1416
31190,1,0,14,69,28,70,14.035668847618199,13385.358971761094,2805
41852,0,0,76,48,58,64,24.08318915758459,13720.457078759222,3605
45480,0,0,58,64,64,62,6.324555320336759,3942.182198705548,464
60416,0,0,60,50,64,43,8.06225774829855,13452.678043430496,4076
64508,0,0,63,44,60,57,13.341664064126334,17536.655285130648,4233
